,Age,Artists,Best number of players,Categories,Designer,Family,Mechanisms,Name,Number of players,Playing time,Publishers,Rating,Weight,Year
3876,8+,['Michael Hays'],— Best: none,['Card Game'],['Andrew Looney'],"['Fluxx', 'Wizard of Oz']","['Hand Management', 'Set Collection']",Oz Fluxx,2–6,10–40,['Looney Labs'],6.3,1.54,2012
3877,10+,['RyanJamesArt'],— Best: 1–3,"['Fighting', 'Horror', 'Miniatures', 'Zombies']","['Richard Launius', 'Jason Maxwell']","['Admin: Unreleased Games', 'Components: Miniatures', 'Crowdfunding: Kickstarter', 'Solitaire Games']","['Dice Rolling', 'Push Your Luck', 'Variable Player Powers']",Run Fight or Die: Reloaded,1–4,20–40,['Grey Fox Games'],7.3,1.82,2019
3878,12+,"['Mike Lemick', 'Rodger B. MacGowan', 'Mark Mahaffey', 'Leona Preston', 'Frank Schoonover']",— Best: 3,"['Adventure', 'Age of Reason', 'Nautical', 'Pirates', 'Wargame']",['Richard H. Berg'],['N/A'],"['Action Points', 'Hand Management', 'Simulation', 'Solo / Solitaire Game', 'Variable Player Powers']",Blackbeard: The Golden Age of Piracy,1–5,120,"['GMT Games', 'Stratagem Game Design']",6.1,3.33,2008
3879,––,"['Nicolás Eskubi', 'Dean Essig']",— Best: 2,"['Wargame', 'World War II']","['Dean Essig', 'John Kisner']","['Country: Tunisia', 'Operational Combat Series', 'WWII: Africa']","['Dice Rolling', 'Hexagon Grid', 'Simulation']",Tunisia II,1–2,120–3000,['Multi-Man Publishing'],8.5,4.40,2016
3880,––,['Nicolás Eskubi'],— Best: 2,"['Wargame', 'World War II']",['Ken Dunn'],"['Advanced Squad Leader', 'Advanced Squad Leader Starter Kit']",['Hexagon Grid'],Advanced Squad Leader: Starter Kit Historical Module 1 – Decision at Elst,2,360–720,['Multi-Man Publishing'],8.5,3.82,2014
3881,––,"['Christophe Gentil-Perret', 'François Vander Meulen']",— Best: 2,"['Napoleonic', 'Wargame']",['François-Stanislas Thomas'],['Continent: Europe'],"['Area Movement', 'Campaign / Battle Card Driven', 'Dice Rolling']",Napoleon against Europe,2,120–900,"['Hexasim', 'Spielworxx']",7.7,3.77,2013
3882,9+,"['Marko Djurdjević', 'Tobias Mannewitz']",— Best: none,['Medieval'],['Reiner Knizia'],"['Admin: Better Description Needed!', 'Fantasy Flight Silver Line Games']",['Tile Placement'],King's Gate,2–4,30,"['Fantasiapelit', 'Fantasy Flight Games', 'Smart Ltd']",6.2,2.05,2002
3883,10+,['Felix Scheinberger'],— Best: 4,['Prehistoric'],"['Alan R. Moon', 'Aaron Weissblum']","['Admin: Better Description Needed!', 'Alea Big Box', 'Animals: Mammoths', 'Sports: Hunting']",['Area Majority / Influence'],Mammoth Hunters,3–5,90,"['alea', 'Ravensburger Spieleverlag GmbH', 'Rio Grande Games']",6.1,2.35,2003
3884,10+,['N/A'],— Best: 3–4,"['Bluffing', 'Card Game']",['Prospero Hall'],['Crime & Mystery'],"['Action Queue', 'Modular Board', 'Team-Based Game']",How to Rob a Bank,2–4,30,"['Big G Creative', 'Jumbo']",6.6,2.00,2017
3885,8+,['Lawrence van der Merwe'],— Best: 2,"['Dice', 'Fantasy']",['Steve Finn'],['Crowdfunding: Kickstarter'],"['Area Majority / Influence', 'Dice Rolling', 'Simultaneous Action Selection', 'Variable Player Powers']",The Institute for Magical Arts,2,30,"[""Dr. Finn's Games""]",7.0,1.79,2015
